Date,Close,Open,High,Low,7_day_MA,14_day_MA,30_day_MA,Daily_Change,Volatility
2013-05-15,114.2,111.4,116.4,103.0,114.92857142857143,112.35,119.11333333333333,0.025134649910233398,2.418480435944344
2013-05-16,118.2,114.2,119.0,112.1,115.7,113.2,120.77333333333333,0.035026269702276736,2.486630920207344
2013-05-17,123.5,118.2,125.6,116.6,116.52857142857144,115.01428571428572,121.78666666666666,0.04483925549915391,3.8543111298534436
2013-05-18,123.2,123.5,125.3,122.3,117.61428571428573,115.75,122.26,-0.0024291497975708065,4.555739446539901
2013-05-19,122.5,123.2,124.5,119.5,118.71428571428571,116.21428571428571,122.39333333333335,-0.005681818181818232,4.690568043577053
2013-05-20,122.0,122.5,123.7,120.1,119.28571428571429,116.90714285714286,122.24000000000001,-0.004081632653061273,4.8306067843242575
2013-05-21,122.9,122.0,123.1,121.1,120.92857142857143,117.85714285714286,122.36333333333332,0.007377049180327999,3.4639641480600165
2013-05-22,123.8,122.9,124.5,122.0,122.3,118.61428571428573,122.24333333333334,0.007323026851098424,1.9061304607321001
2013-05-23,126.3,123.8,126.9,123.0,123.45714285714287,119.57857142857144,121.67000000000002,0.020193861066235774,1.3914706163580344
2013-05-24,133.1,126.3,134.0,125.4,124.82857142857142,120.67857142857143,120.96666666666667,0.05384006334125102,3.9037222773968967
2013-05-25,132.0,133.1,133.5,128.2,126.08571428571427,121.85,120.64333333333335,-0.008264462809917328,4.63947862423775
2013-05-26,133.5,132.0,136.0,130.6,127.65714285714284,123.18571428571428,120.53,0.011363636363636465,5.065852064841032
2013-05-27,129.8,133.5,135.5,124.0,128.77142857142857,124.02857142857144,120.58999999999999,-0.027715355805243314,4.432348619604647
2013-05-28,129.0,129.8,130.6,125.4,129.64285714285714,125.28571428571429,120.41000000000001,-0.006163328197226536,3.608719598812581
2013-05-29,132.3,129.0,132.7,127.6,130.85714285714286,126.57857142857144,120.02,0.0255813953488373,2.6056714699901486
2013-05-30,128.8,132.3,132.4,126.5,131.21428571428572,127.33571428571429,119.67333333333335,-0.026455026455026398,1.9709799351486759
2013-05-31,128.8,128.8,130.0,126.3,130.6,127.71428571428571,120.08666666666666,0.0,1.9553345834741802
2013-06-01,129.3,128.8,129.8,127.1,130.21428571428572,128.15,120.85333333333332,0.0038819875776396895,1.8986210534908592
2013-06-02,122.5,129.3,130.1,115.0,128.64285714285714,128.15,121.66666666666667,-0.052590873936581684,2.9736941912130335
2013-06-03,120.7,122.5,122.8,115.1,127.34285714285716,128.05714285714285,121.92666666666666,-0.014693877551020362,4.1428078814801745
2013-06-04,121.4,120.7,124.0,118.8,126.25714285714287,127.95000000000002,122.10666666666665,0.0057995028997515075,4.6061036110999165
2013-06-05,121.9,121.4,123.5,119.5,124.77142857142857,127.81428571428572,122.42666666666668,0.004118616144975329,3.964725415340258
2013-06-06,119.0,121.9,123.3,117.0,123.37142857142858,127.29285714285716,122.74000000000001,-0.02378999179655461,4.034730179212125
